"Date","Price","Open","High","Low","Change %"
"Mar 19, 2020","7.5102","7.5332","7.7112","7.4458","-0.23%"
"Mar 18, 2020","7.5278","7.7101","7.8147","7.4243","-2.29%"
"Mar 17, 2020","7.7043","7.8914","7.8976","7.6639","-2.28%"
"Mar 16, 2020","7.8840","7.7792","7.9118","7.7429","1.45%"
"Mar 13, 2020","7.7715","7.9415","7.9588","7.7614","-2.08%"
"Mar 12, 2020","7.9363","7.9588","7.9989","7.8583","-0.24%"
"Mar 11, 2020","7.9556","7.9457","8.0369","7.8800","0.23%"
"Mar 10, 2020","7.9371","8.0674","8.0856","7.9041","-1.59%"
"Mar 09, 2020","8.0653","7.9461","8.1164","7.9385","1.51%"
"Mar 06, 2020","7.9455","7.9228","7.9598","7.8700","0.44%"
"Mar 05, 2020","7.9106","7.8227","7.9444","7.7975","1.18%"
"Mar 04, 2020","7.8180","7.8243","7.8752","7.7435","-0.00%"
"Mar 03, 2020","7.8181","7.8734","7.9714","7.7314","-0.65%"
"Mar 02, 2020","7.8690","8.0044","8.0290","7.8588","-1.61%"
"Feb 28, 2020","7.9980","7.9988","8.0814","7.9374","0.03%"
"Feb 27, 2020","7.9953","7.9443","8.0057","7.9208","0.67%"
"Feb 26, 2020","7.9418","7.9907","8.0080","7.9325","-0.54%"
"Feb 25, 2020","7.9846","7.9103","8.0103","7.8497","1.05%"
"Feb 24, 2020","7.9018","7.9032","7.9629","7.8835","0.00%"
"Feb 21, 2020","7.9015","7.8576","7.9335","7.8502","0.64%"
